route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
7635Z,HSL,635Z,Helsinki-Maantiekylä-Kerava,,700,http://aikataulut.hsl.fi/linjat/fi/b635Z.html
7638,HSL,638,Helsinki-Maantiekylä-Kerava,,700,http://aikataulut.hsl.fi/linjat/fi/b638.html
7640,HSL,640,Helsinki-Maantiekylä (-Hyrylä),,700,http://aikataulut.hsl.fi/linjat/fi/b640.html
7848,HSL,848,Kamppi-Pasila-Viikki-Söderkulla-Porvoo,,700,http://aikataulut.hsl.fi/linjat/fi/b848.html
7962,HSL,962,Jumbo-Aviapolis-Hyrylä-Kerava,,700,http://aikataulut.hsl.fi/linjat/fi/b962.html
7962B,HSL,962B,Aviapolis-Hyrylä-Kerava,,700,http://aikataulut.hsl.fi/linjat/fi/b962B.html
7962BB,HSL,962BB,Jumbo-Aviapolis-Hyrylä,,700,http://aikataulut.hsl.fi/linjat/fi/b962BB.html
7962BV,HSL,962BV,Aviapolis-Hyrylä,,700,http://aikataulut.hsl.fi/linjat/fi/b962BV.html
7963,HSL,963,Hyrylä-Kilta-Keravan asema,,700,http://aikataulut.hsl.fi/linjat/fi/b963.html
7974,HSL,974,Korso-Vallinoja (-Hyrylä),,700,http://aikataulut.hsl.fi/linjat/fi/b974.html
7983,HSL,983,Keravan tori-Keravan as.-Nikkilä-Kilpilahti,,700,http://aikataulut.hsl.fi/linjat/fi/b983.html
7989,HSL,989,Pornainen-Järvenpää as.,,700,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
7989A,HSL,989A,Monninkylä-Pornainen-Järvenpää as.,,700,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
7989BB,HSL,989BB,Pornainen-Halkia-Pihlajamäki,,700,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
7989BV,HSL,989BV,Monninkylä-Pornainen-Halkia-Pihlajamäki,,700,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
7989HJ,HSL,989HJ,Pornainen-Halkia-Järvenpää as.,,700,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
7989V,HSL,989V,Monninkylä-Pornainen-Järvenpää as.,,700,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
9633,HSL,633,Rautatientori-Vallinoja-Kerava,,701,http://aikataulut.hsl.fi/linjat/fi/b633.html
9633A,HSL,633A,Rautatientori-Vallinoja-Kerava-Virrenkulma,,701,http://aikataulut.hsl.fi/linjat/fi/b633A.html
9633N,HSL,633N,Rautatientori-Vallinoja-Kerava-Sorsakorpi,,701,http://aikataulut.hsl.fi/linjat/fi/b633N.html
9738,HSL,738,Rautatientori-Kerava,,701,http://aikataulut.hsl.fi/linjat/fi/b738.html
9738K,HSL,738K,Rautatientori-Kerava,,701,http://aikataulut.hsl.fi/linjat/fi/b738K.html
9785,HSL,785,Rautatientori-Jokivarsi-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b785.html
9785K,HSL,785K,Rautatientori-Kuninkaanmäki-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b785K.html
9786,HSL,786,Rautatientori-Jokivarsi-Nikkilä-Järvenpään asema,,701,http://aikataulut.hsl.fi/linjat/fi/b786.html
9787,HSL,787,Rautatientori-Jokivarsi-Nikkilä-Pornainen,,701,http://aikataulut.hsl.fi/linjat/fi/b787.html
9787A,HSL,787A,Rautatientori-Jokivarsi-Nikkilä-Pornainen-Halkia,,701,http://aikataulut.hsl.fi/linjat/fi/b787A.html
9787K,HSL,787K,Rautatientori-Kuninkaanmäki-Nikkilä-Pornainen,,701,http://aikataulut.hsl.fi/linjat/fi/b787K.html
9788,HSL,788,Rautatientori-Jokivarsi-Nikkilä-Hinthaara-Porvoo,,701,http://aikataulut.hsl.fi/linjat/fi/b788.html
9788B,HSL,788B,Nikkilä-Hinthaara-Porvoo,,701,http://aikataulut.hsl.fi/linjat/fi/b788B.html
9788K,HSL,788K,Rautatientori-Kuninkaanmäki-Nikkilä-Hinthaara-Porvoo,,701,http://aikataulut.hsl.fi/linjat/fi/b788K.html
